value1,value2,value3,value4,vO
370,343,323,308,453742
328,330,324,317,421949
317,320,318,316,403869
311,312,312,310,387509
306,306,305,304,372713
304,301,301,298,362422
297,296,295,294,349286
292,291,289,288,336410
288,286,285,283,326054
284,282,280,277,315309
279,277,276,273,305275
274,272,271,269,294862
270,268,267,265,286238
266,264,263,261,277742
262,261,260,258,270929
259,258,257,254,264210
256,255,253,251,257571
253,251,250,247,250519
249,247,247,245,244044
246,244,244,241,237669
242,241,241,238,231370
240,239,238,236,227061
237,236,235,232,220914
235,233,233,230,216703
233,232,232,228,213921
232,230,230,227,211153
229,229,228,225,207491
228,227,227,224,205218
227,225,225,222,202063
225,225,224,221,200267
224,223,223,220,198034
223,222,222,219,196258
221,221,221,217,193612
221,219,219,216,191419
219,218,218,215,189234
219,217,217,214,187935
216,216,216,214,185764
216,215,215,212,184050
215,215,214,211,182767
215,213,214,210,181490
214,213,213,210,180634
213,212,213,209,179363
213,212,212,208,178521
212,211,211,208,177250
212,210,210,207,175993
210,210,210,207,175149
210,210,210,207,175149
209,208,209,206,173062
209,208,209,205,172651
209,208,208,206,172645
208,208,208,206,172228
208,208,208,205,171817
208,208,208,205,171817
209,207,208,204,171410
208,207,208,205,171402
208,207,207,204,170578
208,208,208,205,171817
208,207,207,204,170578
208,207,208,205,171402
208,208,208,205,171817
209,207,207,204,170995
209,208,208,205,172234
209,209,209,205,173068
208,208,208,205,171817
207,207,207,204,170163
206,206,206,203,168517
206,206,205,203,168106
206,205,205,202,167290
206,206,206,203,168517
207,206,206,203,168930
207,206,207,203,169343
207,205,206,203,168519
206,206,206,202,168112
205,205,205,202,166879
205,205,204,202,166470
205,205,205,202,166879
205,204,205,202,166470
205,204,204,201,165658
205,203,204,201,165251
204,203,203,201,164435
204,204,203,200,164441
203,202,204,200,163629
203,202,202,199,162418
203,202,203,200,163222
203,202,202,199,162418
204,202,202,199,162825
203,203,203,199,163228
202,202,203,200,162817
203,203,203,200,163627
203,203,203,200,163627
203,203,203,200,163627
204,202,203,200,163629
204,202,204,200,164036
203,203,203,200,163627
203,203,203,200,163627
204,203,203,200,164034
203,203,203,200,163627
203,202,202,199,162418
203,203,203,199,163228
204,203,203,200,164034
